name,address,units,TAXKEY,
Arlington Court,1633 N. Arlington Place,230,3590631110,
Becher Court,1802 W Becher St,120,,has units
Berryland,6089 N 42nd St,391,1580001112,
Cherry Court,1525 N 24th St,120,,has units
College Court,3334 W Highland BL,251,3881006100,
Convent Hill,455 E Ogden AV,,,has units
Highland Gardens,1818 W Juneau Av,114,,has units
Highland Homes,1818 W Juneau Av,,,has units
Hillside Terrace,1419 N 8th St,470,,
Hillside Terrace High Rise,1545 N 7th St,49,3620411100,
Holton Terrace,2825 N Holton St,120,3141301000,
Laphan Park,1901 N 6th St,201,,has units
Lincoln Court,2325 S Howell Av,110,4990036110,
Locust Court,1350 E Locust St,230,3159986200,
Merill Park,222 N 33rd St,120,4010301100,
Mitchell court,2600 W National Av,100,4341716100,
Northlawn,5145 N 20th St,247,2061101000,
Olga Village,722 W Washington St,37,,has units
Parklawn,4434 W Marion St,380,2480875000,
Riverview,1300 E Kane PL,180,3550601100,
Southlawn,3350 S 25th St,330,5340901100,
Townhomes at Carver Park,1901 N 6th St,,,has units
Victory Manor,5556 N 68th St,60,,has units
Westlawn Gardens,6236 W Birch Av,250,,unclear which TAXKEY(s) units belong to